R,G,B
236,143,173
236,143,170
237,143,168
237,143,166
238,143,163
238,143,161
238,143,158
238,143,156
238,143,154
238,144,151
237,144,149
237,144,147
237,145,144
236,145,142
236,146,140
235,146,138
235,147,136
234,147,133
233,148,131
232,149,129
231,149,127
230,150,125
229,151,124
228,151,122
227,152,120
225,153,118
224,154,116
223,155,115
221,155,113
220,156,112
218,157,110
216,158,109
215,159,108
213,160,107
211,160,106
209,161,104
207,162,104
205,163,103
204,164,102
201,165,101
199,166,100
197,166,100
195,167,100
193,168,99
191,169,99
189,170,99
186,171,99
184,171,99
182,172,99
179,173,99
177,174,99
174,174,100
172,175,100
170,176,101
167,177,102
164,177,102
162,178,103
159,179,104
157,179,105
154,180,106
152,180,107
149,181,109
146,182,110
144,182,112
141,183,113
138,183,115
135,184,116
133,184,118
130,185,120
127,185,122
124,186,123
122,186,125
119,186,127
116,187,130
113,187,132
110,187,134
108,188,136
105,188,138
102,188,140
99,189,143
96,189,145
93,189,147
91,189,150
88,189,152
85,190,155
82,190,157
79,190,160
76,190,162
74,190,165
71,190,167
68,190,170
66,190,172
63,190,175
60,190,177
58,190,179
56,190,182
54,190,184
52,190,187
50,190,189
48,190,192
47,190,194
46,190,196
45,190,199
45,189,201
45,189,203
45,189,205
46,189,207
47,188,210
48,188,212
50,188,214
52,188,216
54,187,217
57,187,219
59,186,221
62,186,223
65,186,225
68,185,226
71,185,228
75,184,229
78,184,230
81,183,232
85,183,233
88,182,234
92,182,235
95,181,236
99,180,237
102,180,238
106,179,239
110,178,240
113,178,240
117,177,241
120,176,241
124,176,241
127,175,242
131,174,242
134,173,242
138,172,242
141,172,242
145,171,242
148,170,241
152,169,241
155,168,241
158,167,240
161,167,239
165,166,239
168,165,238
171,164,237
174,163,236
177,162,235
180,161,234
183,160,233
186,159,232
188,159,230
191,158,229
194,157,228
196,156,226
199,155,224
201,154,223
204,153,221
206,153,219
208,152,217
210,151,216
212,150,214
214,150,212
216,149,210
218,148,208
220,148,205
222,147,203
223,147,201
225,146,199
226,145,197
227,145,194
229,145,192
230,144,190
231,144,187
232,144,185
233,143,183
234,143,180
235,143,178
235,143,175
171,171,171